id,station_id,city_slug,district_slug,address_en,title,provider,external_id,sensor_type,latitude,longitude,altitude,first_measurement_time,last_measurement_time,is_suspicious
239,64,yerevan,kentron,"Arshakunyats avenue, 9/2","ք․ Երևան, Արշակունյաց 9/2 ",yerevan_gis,DFJWB2382,CLARITY_NODE,40.166703,44.506554,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
240,38,yerevan,shengavit,"Arshakunyats avenue, 192","ք․ Երևան, Արշակունյաց պողոտա 192",yerevan_gis,DDGDP6324,CLARITY_NODE,40.144987,44.496617,,"2024-11-25 16:00:00","2025-06-15 04:00:00",false
241,46,yerevan,shengavit,"Arshakunyats Avenue, 27/3","ք․ Երևան, Արշակունյաց 33 ,33/2",yerevan_gis,DDYQM1120,CLARITY_NODE,40.157477,44.503175,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
242,46,yerevan,shengavit,"Arshakunyats Avenue, 27/3","ք. Երևան, Արշակունյաց 27/3",yerevan_gis,DUHPI8625,CLARITY_NODE,40.158515,44.504168,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
243,64,yerevan,kentron,"Arshakunyats avenue, 9/2","ք․ Երևան, Արշակունյաց 9/2 ",yerevan_gis,DCECC3579,CLARITY_NODE,40.166690,44.508234,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
244,64,yerevan,kentron,"Arshakunyats avenue, 9/2","ք․ Երևան, Արշակունյաց 11/4 ",yerevan_gis,DFXCV9419,CLARITY_NODE,40.167501,44.507287,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
245,46,yerevan,shengavit,"Arshakunyats Avenue, 27/3","ք․ Երևան, Արշակունյաց 33 ,33/2",yerevan_gis,DDQBM5249,CLARITY_NODE,40.158154,44.502631,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
246,64,yerevan,kentron,"Arshakunyats avenue, 9/2","ք․ Երևան, Արշակունյաց 11/4 ",yerevan_gis,DFRAH8659,CLARITY_NODE,40.166701,44.506045,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
247,38,yerevan,shengavit,"Arshakunyats avenue, 192","ք․ Երևան, Արշակունյաց պողոտա 192",yerevan_gis,DRCFM5700,CLARITY_NODE,40.144860,44.497045,,"2024-11-25 16:00:00","2025-06-15 04:00:00",false
248,41,yerevan,malatia-sebastia,"Isakov Avenue, 22/1","ք. Երևան, Իսակովի 22/1",yerevan_gis,DXZFS6100,CLARITY_NODE,40.157575,44.459894,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
249,46,yerevan,shengavit,"Arshakunyats Avenue, 27/3","ք. Երևան, Արշակունյաց 27/3",yerevan_gis,DVBEJ8996,CLARITY_NODE,40.158253,44.504019,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
250,41,yerevan,malatia-sebastia,"Isakov Avenue, 22/1","ք. Երևան, Իսակովի 22/1",yerevan_gis,DQHQF5746,CLARITY_NODE,40.157701,44.461070,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
251,68,yerevan,shengavit,"Frunze street, 10/4","ք․ Երևան, Մ․ Ֆրունզեի 10/4",yerevan_gis,DGMHN9316,CLARITY_NODE,40.148754,44.493423,,"2024-11-25 16:00:00","2025-06-30 04:00:00",false
252,62,yerevan,shengavit,"Hayk Hovsepyan street, 31","ք․ Երևան, Հ.Հովսեփյան 31 ",yerevan_gis,DVDGW3773,CLARITY_NODE,40.147822,44.480929,,"2024-11-25 16:00:00","2025-05-19 08:00:00",false
253,70,yerevan,malatia-sebastia,"Zoravar Andranik street, 121/6","ք․ Երևան, Զորավար Անդրանիկի փ․ 121/6",yerevan_gis,DNJML2195,CLARITY_NODE,40.166821,44.446097,,"2024-11-25 16:00:00","2025-08-31 03:00:00",false
254,35,yerevan,shengavit,"Garegin Nzhdeh Street, 15/1","ք․Երևան, Գ․ Նժդեհ 15/1",yerevan_gis,DPRZF2958,CLARITY_NODE,40.151925,44.486616,,"2024-11-25 16:00:00","2025-09-15 19:00:00",false
