"route_id","length_km","pop_covered","penalty","route_wkt","start_lat","start_lon","end_lat","end_lon","wp1_lat","wp1_lon","wp2_lat","wp2_lon","wp3_lat","wp3_lon","wp4_lat","wp4_lon","wp5_lat","wp5_lon","wp6_lat","wp6_lon","wp7_lat","wp7_lon","wp8_lat","wp8_lon","wp9_lat","wp9_lon"
11,0.807,18,3.4943,"LINESTRING (44.52598 40.19244, 44.52604 40.19239, 44.52611 40.19238, 44.52615 40.1924, 44.52616 40.19244, 44.52614 40.19255, 44.52614 40.19275, 44.52626 40.19246, 44.5264 40.19236, 44.52661 40.19224, 44.52677 40.19216, 44.52687 40.19213, 44.52711 40.19204, 44.52728 40.19201, 44.52744 40.19202, 44.52768 40.19209, 44.52791 40.19217, 44.5281 40.1922, 44.52819 40.1922, 44.52831 40.19218, 44.52841 40.19214, 44.5285 40.19208, 44.52857 40.19203, 44.52873 40.19191, 44.52887 40.19181, 44.5291 40.19173, 44.52864 40.19176, 44.52849 40.19178, 44.52852 40.19173, 44.52854 40.19163, 44.52854 40.19159, 44.52876 40.19162, 44.52898 40.19164, 44.52928 40.19166, 44.53022 40.19172, 44.53037 40.19173, 44.53047 40.19175, 44.53059 40.19178, 44.53077 40.19185, 44.53103 40.19202, 44.53134 40.19221, 44.53157 40.19232, 44.53189 40.19242, 44.53214 40.19244, 44.53177 40.1923)",40.192437,44.525981,40.192302,44.531774,40.192538,44.526229,40.1921,44.526953,40.192148,44.527844,40.191955,44.528674,40.19176,44.528671,40.191642,44.529035,40.191705,44.529979,40.191914,44.530865,40.192338,44.531631
12,1.032,27,3.7349,"LINESTRING (44.46443 40.19076, 44.46427 40.19074, 44.46376 40.19071, 44.46321 40.19067, 44.4629 40.19064, 44.46286 40.19064, 44.46283 40.19064, 44.46254 40.1906, 44.46246 40.19059, 44.46231 40.19056, 44.46229 40.19064, 44.46223 40.1906, 44.46215 40.19053, 44.46211 40.19047, 44.46207 40.1904, 44.462 40.19025, 44.46198 40.19018, 44.46191 40.18947, 44.46186 40.1889, 44.46183 40.18856, 44.46181 40.18825, 44.46178 40.18792, 44.46176 40.18762, 44.46172 40.18729, 44.46171 40.18718, 44.46165 40.18645, 44.46164 40.18638, 44.46161 40.18625, 44.46152 40.18596, 44.46143 40.18568, 44.46139 40.18555, 44.46137 40.18549, 44.46116 40.18487, 44.46077 40.18368, 44.46066 40.18336, 44.46062 40.18324)",40.190755,44.464432,40.183237,44.460624,40.190668,44.463226,40.190539,44.462166,40.18964,44.46193,40.188713,44.461843,40.187785,44.461771,40.186858,44.461684,40.185941,44.461515,40.185039,44.46122,40.184138,44.460922
13,0.555,12,3.2849,"LINESTRING (44.46252 40.21007, 44.46252 40.21006, 44.46248 40.20987, 44.46245 40.2097, 44.46241 40.20954, 44.4624 40.2095, 44.46237 40.20939, 44.46233 40.20929, 44.46228 40.20924, 44.46225 40.20923, 44.46222 40.20921, 44.46219 40.20918, 44.46216 40.20914, 44.46216 40.2091, 44.46216 40.20905, 44.46219 40.20902, 44.4622 40.20899, 44.46223 40.20898, 44.46228 40.20888, 44.46229 40.20883, 44.46229 40.20874, 44.46218 40.20822, 44.46211 40.20789, 44.46201 40.20751, 44.46197 40.20731, 44.46192 40.20708, 44.4619 40.20699, 44.46182 40.20663, 44.46153 40.20536, 44.46152 40.20521)",40.210073,44.46252,40.205214,44.461518,40.209579,44.462419,40.209139,44.462166,40.208664,44.462278,40.208171,44.462174,40.207679,44.462058,40.207187,44.46194,40.206694,44.46183,40.206201,44.461719,40.205708,44.461608
14,0.618,9,3.3244,"LINESTRING (44.56709 40.19056, 44.56709 40.19053, 44.56708 40.19051, 44.56708 40.19048, 44.56709 40.19045, 44.56736 40.18993, 44.56779 40.18896, 44.56781 40.18889, 44.56783 40.18883, 44.56782 40.18874, 44.56779 40.18867, 44.56775 40.18861, 44.56769 40.18854, 44.56766 40.18852, 44.56759 40.18848, 44.56753 40.18843, 44.56751 40.18838, 44.56751 40.18834, 44.56752 40.18827, 44.56756 40.18821, 44.5676 40.18815, 44.56772 40.18805, 44.56784 40.18795, 44.56894 40.18701, 44.5702 40.18597)",40.190559,44.567091,40.18597,44.570202,40.190037,44.567308,40.189512,44.567549,40.188985,44.567781,40.188491,44.567609,40.188023,44.567754,40.187613,44.568243,40.187198,44.568728,40.186787,44.569217,40.186379,44.569709
15,0.956,24,3.6518,"LINESTRING (44.51499 40.16005, 44.51448 40.1601, 44.51384 40.16013, 44.51351 40.16014, 44.51317 40.16016, 44.51311 40.16016, 44.51285 40.16017, 44.51265 40.16018, 44.51222 40.1602, 44.51211 40.1602, 44.51192 40.16021, 44.51196 40.16033, 44.51216 40.16085, 44.51235 40.16136, 44.51257 40.16192, 44.51272 40.16234, 44.51275 40.16244, 44.51276 40.16249, 44.51279 40.16268, 44.51282 40.16289, 44.51284 40.16313, 44.51248 40.16315, 44.51197 40.16317, 44.51142 40.16318, 44.51024 40.16319, 44.51018 40.16319, 44.50988 40.1632, 44.50946 40.1632, 44.50863 40.16321)",40.160046,44.51499,40.163212,44.508627,40.160125,44.513874,40.160176,44.512753,40.160422,44.511997,40.16125,44.51231,40.162076,44.512625,40.162921,44.512825,40.163165,44.511994,40.163185,44.510872,40.163199,44.509749
16,0.773,20,3.4603,"LINESTRING (44.51285 40.16017, 44.51265 40.16018, 44.51222 40.1602, 44.51211 40.1602, 44.51192 40.16021, 44.51196 40.16033, 44.51216 40.16085, 44.51235 40.16136, 44.51257 40.16192, 44.51272 40.16234, 44.51275 40.16244, 44.51276 40.16249, 44.51279 40.16268, 44.51282 40.16289, 44.51284 40.16313, 44.51248 40.16315, 44.51197 40.16317, 44.51142 40.16318, 44.51024 40.16319, 44.51018 40.16319, 44.50988 40.1632, 44.50946 40.1632, 44.50863 40.16321)",40.160172,44.51285,40.163212,44.508627,40.160209,44.511943,40.160862,44.512163,40.16153,44.512417,40.162199,44.512671,40.162884,44.512822,40.163158,44.512257,40.163179,44.51135,40.16319,44.510442,40.163202,44.509535
17,0.699,10,3.3911,"LINESTRING (44.47856 40.1927, 44.47856 40.19259, 44.47856 40.19257, 44.47856 40.1925, 44.47856 40.19243, 44.47857 40.19237, 44.47858 40.19228, 44.4786 40.19214, 44.47864 40.19198, 44.47874 40.19172, 44.47885 40.19151, 44.47895 40.19137, 44.47906 40.19125, 44.47936 40.19095, 44.47941 40.19089, 44.47956 40.19074, 44.47976 40.19054, 44.47994 40.19038, 44.48009 40.19024, 44.48011 40.19023, 44.48014 40.19023, 44.48017 40.19023, 44.48019 40.19023, 44.48027 40.19025, 44.48029 40.19026, 44.48119 40.1908, 44.48372 40.19229)",40.192703,44.478563,40.192291,44.483719,40.192076,44.478618,40.191478,44.47887,40.190964,44.479344,40.190464,44.479844,40.190365,44.480467,40.190753,44.481115,40.191137,44.481766,40.191522,44.482417,40.191906,44.483068
18,0.944,23,3.6383,"LINESTRING (44.51772 40.17386, 44.51766 40.17384, 44.51749 40.1738, 44.517 40.1737, 44.5168 40.17367, 44.51658 40.17363, 44.51646 40.17361, 44.51611 40.17356, 44.51608 40.17356, 44.51601 40.17354, 44.51548 40.17347, 44.51514 40.17344, 44.51492 40.17343, 44.51417 40.17342, 44.51386 40.17337, 44.51365 40.17333, 44.51347 40.17328, 44.51315 40.17315, 44.51161 40.17246, 44.51146 40.1724, 44.51112 40.17225, 44.5108 40.17211, 44.5105 40.17199, 44.51024 40.17187, 44.50996 40.17175, 44.50988 40.17172, 44.50939 40.17151, 44.50912 40.17139, 44.50899 40.17134, 44.50895 40.17132, 44.50872 40.17118, 44.50852 40.17101, 44.50833 40.17085, 44.50829 40.17107, 44.50826 40.1712, 44.50816 40.17134)",40.173856,44.517722,40.171338,44.508158,40.17364,44.516651,40.173482,44.515563,40.17342,44.514459,40.173241,44.513389,40.172823,44.512424,40.172398,44.511464,40.171984,44.510497,40.171569,44.509529,40.171097,44.508617
19,1.631,72,4.3935,"LINESTRING (44.50896 40.18193, 44.50888 40.18187, 44.50814 40.18125, 44.50804 40.18117, 44.50791 40.18106, 44.50777 40.18094, 44.50771 40.18089, 44.50783 40.1808, 44.50839 40.18042, 44.50869 40.18021, 44.50892 40.18005, 44.509 40.18, 44.50908 40.17994, 44.50914 40.1799, 44.50952 40.17964, 44.50965 40.17955, 44.50993 40.17936, 44.51005 40.17927, 44.50997 40.17921, 44.50927 40.17868, 44.5089 40.17841, 44.50887 40.17838, 44.50858 40.17816, 44.50852 40.17811, 44.50804 40.17775, 44.50777 40.17754, 44.50773 40.17751, 44.50765 40.17746, 44.50757 40.17742, 44.5075 40.17738, 44.50745 40.17736, 44.50691 40.17709, 44.50687 40.17707, 44.50681 40.17705, 44.50555 40.17644, 44.50544 40.17638, 44.50505 40.17619, 44.50469 40.17601, 44.50457 40.17596, 44.50445 40.17589, 44.5045 40.17582, 44.50501 40.17523, 44.50519 40.17502, 44.50522 40.17497, 44.50536 40.17481, 44.50559 40.17452, 44.5056 40.1745, 44.50574 40.17432, 44.50591 40.17413, 44.50618 40.17381, 44.50625 40.17372, 44.50634 40.17361, 44.50665 40.17322, 44.50692 40.17288, 44.50716 40.17258, 44.50757 40.17208, 44.50781 40.17178, 44.50803 40.17149, 44.50811 40.17139, 44.50816 40.17134)",40.181932,44.508956,40.171338,44.508158,40.180853,44.507766,40.179867,44.509187,40.178866,44.509515,40.177833,44.508151,40.176955,44.506627,40.17617,44.505008,40.175084,44.505129,40.17384,44.506148,40.17259,44.507155
20,1.046,41,3.7513,"LINESTRING (44.50178 40.1793, 44.50168 40.17924, 44.50174 40.17917, 44.50177 40.17913, 44.50237 40.17841, 44.5024 40.17837, 44.50284 40.17785, 44.50309 40.17753, 44.50312 40.1775, 44.50331 40.17727, 44.50337 40.17721, 44.50346 40.1771, 44.5035 40.17704, 44.50373 40.17679, 44.50395 40.1765, 44.50439 40.17596, 44.50445 40.17589, 44.5045 40.17582, 44.50501 40.17523, 44.50519 40.17502, 44.50522 40.17497, 44.50536 40.17481, 44.50559 40.17452, 44.5056 40.1745, 44.50574 40.17432, 44.50591 40.17413, 44.50618 40.17381, 44.50625 40.17372, 44.50634 40.17361, 44.50665 40.17322, 44.50692 40.17288, 44.50716 40.17258, 44.50757 40.17208, 44.50781 40.17178, 44.50803 40.17149, 44.50811 40.17139, 44.50816 40.17134)",40.179301,44.501776,40.171338,44.508158,40.178522,44.502275,40.177725,44.502932,40.176933,44.503598,40.176135,44.504251,40.17534,44.504913,40.174544,44.505571,40.173746,44.506225,40.172944,44.50687,40.172142,44.507516
